"Trial","Point","Treatment","Tr.Type","Exemplar","Forest.type","R1.recruit","R1.spp.per.trial","R1.spp.rec.per.trial","R1.prop.rec","R2.spp.per.trial","R2.spp.rec.per.trial","R2.recruit","R2.prop.rec","Total.Recs","Total.spp.trial","Total.spp.rec.trial","Total.prop.rec","Tr.prop","log.Recs"
1,"VA2","NFSOLO","PLCO","PLCO5","VA",5,7,5,0.714285714285714,9,2,2,0.222222222222222,7,16,7,0.4375,0.4375,0.903089986991944
2,"VA3","MSF","MSF","MSF5","VA",5,9,5,0.555555555555556,12,4,4,0.333333333333333,9,21,9,0.428571428571429,0.428571428571429,1
3,"VA20","MSFSOLO","HARU","HARU2","VA",2,4,2,0.5,11,2,2,0.181818181818182,4,15,4,0.266666666666667,0.266666666666667,0.698970004336019
4,"VA21","NF","NF","NF3","VA",0,1,0,0,3,0,0,0,0,4,0,0,1e-14,0
5,"VA19","CTRL","CTRL","CTRL1","VA",3,6,3,0.5,17,1,1,0.0588235294117647,4,23,4,0.173913043478261,0.173913043478261,0.698970004336019
6,"VA18","NFSOLO","HEGR","HEGR4","VA",1,3,1,0.333333333333333,11,1,1,0.0909090909090909,2,14,2,0.142857142857143,0.142857142857143,0.477121254719662
7,"VA17","MSF","MSF","MSF1","VA",1,3,1,0.333333333333333,8,2,2,0.25,3,11,3,0.272727272727273,0.272727272727273,0.602059991327962
8,"VA16","MSFSOLO","TUOC","TUOC3","VA",2,6,2,0.333333333333333,10,1,1,0.1,3,16,3,0.1875,0.1875,0.602059991327962
9,"VA15","NF","NF","NF1","VA",0,1,0,0,9,0,0,0,0,10,0,0,1e-14,0
10,"VA22","CTRL","CTRL","CTRL5","VA",0,1,0,0,8,1,1,0.125,1,9,1,0.111111111111111,0.111111111111111,0.301029995663981
11,"VA24","MSF","MSF","MSF2","VA",2,4,2,0.5,13,2,2,0.153846153846154,4,17,4,0.235294117647059,0.235294117647059,0.698970004336019
12,"VA26","CTRL","CTRL","CTRL4","VA",4,13,4,0.307692307692308,15,2,2,0.133333333333333,6,28,6,0.214285714285714,0.214285714285714,0.845098040014257
13,"VA27","MSFSOLO","MYLO","MYLO1","VA",0,5,0,0,8,0,0,0,0,13,0,0,1e-14,0
14,"VA25","NF","NF","NF2","VA",0,2,0,0,9,1,1,0.111111111111111,1,11,1,0.0909090909090909,0.0909090909090909,0.301029995663981
15,"VA28","NFSOLO","LAHY","LAHY7","VA",0,1,0,0,3,0,0,0,0,4,0,0,1e-14,0
16,"VA29","NF","NF","NF5","VA",0,4,0,0,7,1,1,0.142857142857143,1,11,1,0.0909090909090909,0.0909090909090909,0.301029995663981
17,"VA7","MSF","MSF","MSF4","VA",8,9,8,0.888888888888889,13,2,4,0.153846153846154,12,22,10,0.454545454545455,0.454545454545455,1.11394335230684
18,"VA8","MSFSOLO","MYSC","MYSC8","VA",2,7,2,0.285714285714286,9,1,1,0.111111111111111,3,16,3,0.1875,0.1875,0.602059991327962
19,"VA9","NFSOLO","LECO","LECO2","VA",1,4,1,0.25,13,0,0,0,1,17,1,0.0588235294117647,0.0588235294117647,0.301029995663981
21,"VA3","CTRL","CTRL","CTRL2","VA",1,5,1,0.2,10,0,0,0,1,15,1,0.0666666666666667,0.0666666666666667,0.301029995663981
22,"VA29","MSF","MSF","MSF3","VA",4,5,4,0.8,13,3,4,0.230769230769231,8,18,7,0.388888888888889,0.388888888888889,0.954242509439325
23,"VA28","MSFSOLO","THAR","THAR7","VA",5,9,5,0.555555555555556,13,5,5,0.384615384615385,10,22,10,0.454545454545455,0.454545454545455,1.04139268515823
24,"VA26","NFSOLO","MOMO","MOMO8","VA",2,4,2,0.5,13,0,0,0,2,17,2,0.117647058823529,0.117647058823529,0.477121254719662
25,"VA25","MSF","MSF","MSF4","VA",0,2,0,0,9,0,0,0,0,11,0,0,1e-14,0
26,"VA15","CTRL","CTRL","CTRL4","VA",4,8,4,0.5,14,2,2,0.142857142857143,6,22,6,0.272727272727273,0.272727272727273,0.845098040014257
27,"VA17","NFSOLO","PLCO","PLCO6","VA",4,13,4,0.307692307692308,18,5,5,0.277777777777778,9,31,9,0.290322580645161,0.290322580645161,1
28,"VA18","MSFSOLO","MYLO","MYLO4","VA",1,4,1,0.25,7,1,1,0.142857142857143,2,11,2,0.181818181818182,0.181818181818182,0.477121254719662
29,"VA16","NF","NF","NF1","VA",1,4,1,0.25,12,0,0,0,1,16,1,0.0625,0.0625,0.301029995663981
30,"VA19","NF","NF","NF4","VA",2,4,2,0.5,10,0,0,0,2,14,2,0.142857142857143,0.142857142857143,0.477121254719662
31,"VA10","NFSOLO","MOMO","MOMO1","VA",0,1,0,0,12,1,1,0.0833333333333333,1,13,1,0.0769230769230769,0.0769230769230769,0.301029995663981
32,"VA9","MSFSOLO","THAR","THAR3","VA",5,5,5,1,11,3,3,0.272727272727273,8,16,8,0.5,0.5,0.954242509439325
33,"VA8","MSF","MSF","MSF1","VA",0,1,0,0,3,0,0,0,0,4,0,0,1e-14,0
34,"VA7","NF","NF","NF5","VA",2,2,2,1,7,0,0,0,2,9,2,0.222222222222222,0.222222222222222,0.477121254719662
35,"VA20","CTRL","CTRL","CTRL2","VA",4,7,3,0.428571428571429,10,2,2,0.2,6,17,5,0.294117647058824,0.294117647058824,0.845098040014257
36,"VA22","MSFSOLO","HARU","HARU7","VA",4,9,4,0.444444444444444,9,0,0,0,4,18,4,0.222222222222222,0.222222222222222,0.698970004336019
37,"VA24","CTRL","CTRL","CTRL5","VA",4,12,4,0.333333333333333,16,2,2,0.125,6,28,6,0.214285714285714,0.214285714285714,0.845098040014257
38,"VA21","MSF","MSF","MSF2","VA",1,6,1,0.166666666666667,12,2,2,0.166666666666667,3,18,3,0.166666666666667,0.166666666666667,0.602059991327962
39,"VA2","NF","NF","NF4","VA",3,12,3,0.25,15,2,2,0.133333333333333,5,27,5,0.185185185185185,0.185185185185185,0.778151250383644
40,"VA3","NFSOLO","LECO","LECO3","VA",3,8,3,0.375,12,0,0,0,3,20,3,0.15,0.15,0.602059991327962
41,"VA19","NFSOLO","LAHY","LAHY4","VA",3,6,3,0.5,12,2,2,0.166666666666667,5,18,5,0.277777777777778,0.277777777777778,0.778151250383644
42,"VA4","MSFSOLO","TUOC","TUOC6","VA",0,2,0,0,9,0,0,0,0,11,0,0,1e-14,0
43,"VA29","CTRL","CTRL","CTRL3","VA",4,6,4,0.666666666666667,9,1,1,0.111111111111111,5,15,5,0.333333333333333,0.333333333333333,0.778151250383644
44,"VA15","MSFSOLO","MYSC","MYSC6","VA",0,2,0,0,11,1,1,0.0909090909090909,1,13,1,0.0769230769230769,0.0769230769230769,0.301029995663981
45,"VA28","MSF","MSF","MSF3","VA",0,7,0,0,11,0,0,0,0,18,0,0,1e-14,0
46,"VA18","CTRL","CTRL","CTRL1","VA",0,6,0,0,12,0,0,0,0,18,0,0,1e-14,0
47,"VA26","NF","NF","NF3","VA",2,2,2,1,5,0,0,0,2,7,2,0.285714285714286,0.285714285714286,0.477121254719662
48,"VA17","NF","NF","NF2","VA",0,4,0,0,12,0,0,0,0,16,0,0,1e-14,0
49,"VA16","MSF","MSF","MSF1","VA",1,9,1,0.111111111111111,18,2,2,0.111111111111111,3,27,3,0.111111111111111,0.111111111111111,0.602059991327962
50,"VA20","NFSOLO","HEGR","HEGR1","VA",1,7,1,0.142857142857143,12,1,1,0.0833333333333333,2,19,2,0.105263157894737,0.105263157894737,0.477121254719662
51,"VA25","MSFSOLO","MYSC","MYSC4","VA",1,9,1,0.111111111111111,13,0,0,0,1,22,1,0.0454545454545455,0.0454545454545455,0.301029995663981
52,"VA7","NFSOLO","MOMO","MOMO4","VA",2,4,2,0.5,12,0,0,0,2,16,2,0.125,0.125,0.477121254719662
53,"VA24","NF","NF","NF1","VA",2,7,2,0.285714285714286,10,2,3,0.2,5,17,4,0.235294117647059,0.235294117647059,0.778151250383644
54,"VA22","MSF","MSF","MSF4","VA",2,7,2,0.285714285714286,9,0,0,0,2,16,2,0.125,0.125,0.477121254719662
55,"VA2","CTRL","CTRL","CTRL4","VA",0,4,0,0,14,1,1,0.0714285714285714,1,18,1,0.0555555555555556,0.0555555555555556,0.301029995663981
56,"VA21","CTRL","CTRL","CTRL2","VA",3,7,3,0.428571428571429,11,0,0,0,3,18,3,0.166666666666667,0.166666666666667,0.602059991327962
57,"VA18","NF","NF","NF4","VA",2,4,2,0.5,11,1,2,0.0909090909090909,4,15,3,0.2,0.2,0.698970004336019
58,"VA4","MSF","MSF","MSF5","VA",5,7,5,0.714285714285714,9,3,4,0.333333333333333,9,16,8,0.5,0.5,1
59,"VA16","NFSOLO","HEGR","HEGR6","VA",0,1,0,0,5,0,0,0,0,6,0,0,1e-14,0
60,"VA21","MSFSOLO","THAR","THAR2","VA",6,8,6,0.75,17,1,1,0.0588235294117647,7,25,7,0.28,0.28,0.903089986991944
61,"VA22","NF","NF","NF5","VA",1,7,1,0.142857142857143,14,1,1,0.0714285714285714,2,21,2,0.0952380952380952,0.0952380952380952,0.477121254719662
62,"VA15","NFSOLO","PLCO","PLCO1","VA",1,4,1,0.25,9,2,2,0.222222222222222,3,13,3,0.230769230769231,0.230769230769231,0.602059991327962
63,"VA4","CTRL","CTRL","CTRL3","VA",2,7,2,0.285714285714286,12,1,1,0.0833333333333333,3,19,3,0.157894736842105,0.157894736842105,0.602059991327962
64,"VA17","MSFSOLO","TUOC","TUOC4","VA",3,4,3,0.75,14,1,1,0.0714285714285714,4,18,4,0.222222222222222,0.222222222222222,0.698970004336019
65,"VA24","NFSOLO","LECO","LECO8","VA",3,11,3,0.272727272727273,18,2,2,0.111111111111111,5,29,5,0.172413793103448,0.172413793103448,0.778151250383644
66,"VA19","MSF","MSF","MSF2","VA",0,2,0,0,10,1,1,0.1,1,12,1,0.0833333333333333,0.0833333333333333,0.301029995663981
67,"VA3","MSFSOLO","MYLO","MYLO2","VA",1,5,1,0.2,7,0,0,0,1,12,1,0.0833333333333333,0.0833333333333333,0.301029995663981
68,"VA2","MSF","MSF","MSF3","VA",4,8,4,0.5,8,1,1,0.125,5,16,5,0.3125,0.3125,0.778151250383644
69,"VA28","NF","NF","NF3","VA",0,4,0,0,9,2,2,0.222222222222222,2,13,2,0.153846153846154,0.153846153846154,0.477121254719662
70,"VA8","NF","NF","NF2","VA",2,3,2,0.666666666666667,5,0,0,0,2,8,2,0.25,0.25,0.477121254719662
71,"VA29","NFSOLO","LAHY","LAHY3","VA",5,8,4,0.5,13,0,0,0,5,21,4,0.19047619047619,0.19047619047619,0.778151250383644
72,"VA9","CTRL","CTRL","CTRL4","VA",1,3,1,0.333333333333333,6,0,0,0,1,9,1,0.111111111111111,0.111111111111111,0.301029995663981
73,"VA26","MSF","MSF","MSF5","VA",3,4,3,0.75,9,1,1,0.111111111111111,4,13,4,0.307692307692308,0.307692307692308,0.698970004336019
74,"VA10","MSFSOLO","HARU","HARU3","VA",6,10,6,0.6,14,0,0,0,6,24,6,0.25,0.25,0.845098040014257
75,"VA20","MSF","MSF","MSF4","VA",0,4,0,0,8,1,1,0.125,1,12,1,0.0833333333333333,0.0833333333333333,0.301029995663981
76,"VA25","CTRL","CTRL","CTRL5","VA",0,2,0,0,4,0,0,0,0,6,0,0,1e-14,0
77,"VA3","NF","NF","NF2","VA",2,7,2,0.285714285714286,15,1,1,0.0666666666666667,3,22,3,0.136363636363636,0.136363636363636,0.602059991327962
78,"VA10","MSF","MSF","MSF3","VA",2,6,2,0.333333333333333,16,3,3,0.1875,5,22,5,0.227272727272727,0.227272727272727,0.778151250383644
79,"VA21","NFSOLO","LECO","LECO1","VA",1,6,1,0.166666666666667,12,0,0,0,1,18,1,0.0555555555555556,0.0555555555555556,0.301029995663981
80,"VA20","NF","NF","NF3","VA",1,5,1,0.2,12,0,0,0,1,17,1,0.0588235294117647,0.0588235294117647,0.301029995663981
81,"VA22","NFSOLO","LAHY","LAHY2","VA",2,8,2,0.25,10,2,2,0.2,4,18,4,0.222222222222222,0.222222222222222,0.698970004336019
82,"VA2","MSFSOLO","MYLO","MYLO3","VA",9,13,8,0.615384615384615,18,5,7,0.277777777777778,16,31,13,0.419354838709677,0.419354838709677,1.23044892137827
83,"VA18","MSF","MSF","MSF2","VA",3,8,3,0.375,15,1,1,0.0666666666666667,4,23,4,0.173913043478261,0.173913043478261,0.698970004336019
84,"VA19","MSFSOLO","HARU","HARU4","VA",4,8,4,0.5,14,0,0,0,4,22,4,0.181818181818182,0.181818181818182,0.698970004336019
85,"VA9","NF","NF","NF4","VA",1,1,1,1,10,1,1,0.1,2,11,2,0.181818181818182,0.181818181818182,0.477121254719662
86,"VA16","CTRL","CTRL","CTRL5","VA",6,11,6,0.545454545454545,14,2,3,0.142857142857143,9,25,8,0.32,0.32,1
87,"VA8","NFSOLO","PLCO","PLCO4","VA",1,6,1,0.166666666666667,10,1,1,0.1,2,16,2,0.125,0.125,0.477121254719662
88,"VA7","CTRL","CTRL","CTRL1","VA",1,4,1,0.25,5,0,0,0,1,9,1,0.111111111111111,0.111111111111111,0.301029995663981
89,"VA10","NF","NF","NF5","VA",3,7,3,0.428571428571429,12,1,1,0.0833333333333333,4,19,4,0.210526315789474,0.210526315789474,0.698970004336019
90,"VA24","MSFSOLO","THAR","THAR1","VA",2,3,2,0.666666666666667,14,4,4,0.285714285714286,6,17,6,0.352941176470588,0.352941176470588,0.845098040014257
91,"VA26","MSFSOLO","TUOC","TUOC1","VA",5,13,5,0.384615384615385,14,0,0,0,5,27,5,0.185185185185185,0.185185185185185,0.778151250383644
92,"VA7","MSFSOLO","MYSC","MYSC1","VA",0,3,0,0,6,0,0,0,0,9,0,0,1e-14,0
93,"VA28","CTRL","CTRL","CTRL1","VA",2,6,2,0.333333333333333,10,1,1,0.1,3,16,3,0.1875,0.1875,0.602059991327962
94,"VA9","MSF","MSF","MSF1","VA",2,3,2,0.666666666666667,8,1,1,0.125,3,11,3,0.272727272727273,0.272727272727273,0.602059991327962
95,"VA8","CTRL","CTRL","CTRL2","VA",4,7,4,0.571428571428571,15,2,2,0.133333333333333,6,22,6,0.272727272727273,0.272727272727273,0.845098040014257
96,"VA25","NFSOLO","HEGR","HEGR7","VA",0,4,0,0,8,0,0,0,0,12,0,0,1e-14,0
97,"VA29","MSFSOLO","TUOC","TUOC8","VA",5,7,5,0.714285714285714,14,1,1,0.0714285714285714,6,21,6,0.285714285714286,0.285714285714286,0.845098040014257
98,"VA4","NF","NF","NF1","VA",3,8,3,0.375,13,1,1,0.0769230769230769,4,21,4,0.19047619047619,0.19047619047619,0.698970004336019
99,"VA30","NFSOLO","LAHY","LAHY5","VA",4,9,4,0.444444444444444,12,2,2,0.166666666666667,6,21,6,0.285714285714286,0.285714285714286,0.845098040014257
100,"VA5","NFSOLO","HEGR","HEGR5","VA",7,10,7,0.7,13,3,3,0.230769230769231,10,23,10,0.434782608695652,0.434782608695652,1.04139268515823
101,"VA31","MSFSOLO","MYLO","MYLO5","VA",3,4,3,0.75,6,2,2,0.333333333333333,5,10,5,0.5,0.5,0.778151250383644
102,"VA15","MSF","MSF","MSF5","VA",3,4,3,0.75,13,4,5,0.307692307692308,8,17,7,0.411764705882353,0.411764705882353,0.954242509439325
103,"VA29","NFSOLO","PLCO","PLCO2","VA",3,9,3,0.333333333333333,13,2,3,0.153846153846154,6,22,5,0.227272727272727,0.227272727272727,0.845098040014257
104,"VA11","MSFSOLO","MYSC","MYSC3","VA",1,3,1,0.333333333333333,8,1,1,0.125,2,11,2,0.181818181818182,0.181818181818182,0.477121254719662
105,"VA4","NFSOLO","PLCO","PLCO7","VA",3,8,3,0.375,11,0,0,0,3,19,3,0.157894736842105,0.157894736842105,0.602059991327962
106,"VA13","MSFSOLO","THAR","THAR8","VA",5,9,5,0.555555555555556,12,3,3,0.25,8,21,8,0.380952380952381,0.380952380952381,0.954242509439325
107,"VA17","CTRL","CTRL","CTRL3","VA",2,4,2,0.5,7,0,0,0,2,11,2,0.181818181818182,0.181818181818182,0.477121254719662
108,"VA41","NFSOLO","LECO","LECO7","VA",1,6,1,0.166666666666667,10,2,4,0.2,5,16,3,0.1875,0.1875,0.778151250383644
109,"VA1","NFSOLO","MOMO","MOMO2","VA",5,9,5,0.555555555555556,15,3,5,0.2,10,24,8,0.333333333333333,0.333333333333333,1.04139268515823
110,"VA36","NFSOLO","LECO","LECO5","VA",2,6,2,0.333333333333333,8,1,1,0.125,3,14,3,0.214285714285714,0.214285714285714,0.602059991327962
111,"VA41","MSFSOLO","MYSC","MYSC2","VA",3,8,3,0.375,11,5,6,0.454545454545455,9,19,8,0.421052631578947,0.421052631578947,1
112,"VA37","MSFSOLO","TUOC","TUOC5","VA",3,6,3,0.5,8,1,1,0.125,4,14,4,0.285714285714286,0.285714285714286,0.698970004336019
113,"VA40","NFSOLO","MOMO","MOMO6","VA",5,7,5,0.714285714285714,12,3,3,0.25,8,19,8,0.421052631578947,0.421052631578947,0.954242509439325
114,"VA38","NFSOLO","LAHY","LAHY1","VA",1,6,1,0.166666666666667,10,1,1,0.1,2,16,2,0.125,0.125,0.477121254719662
115,"VA42","MSFSOLO","HARU","HARU6","VA",0,2,0,0,6,0,0,0,0,8,0,0,1e-14,0
116,"VA42","NFSOLO","HEGR","HEGR2","VA",0,6,0,0,12,2,2,0.166666666666667,2,18,2,0.111111111111111,0.111111111111111,0.477121254719662
117,"VA30","MSFSOLO","MYLO","MYLO7","VA",3,6,3,0.5,12,2,2,0.166666666666667,5,18,5,0.277777777777778,0.277777777777778,0.778151250383644
118,"VA13","NFSOLO","LECO","LECO4","VA",1,4,1,0.25,9,0,0,0,1,13,1,0.0769230769230769,0.0769230769230769,0.301029995663981
119,"VA31","NFSOLO","HEGR","HEGR8","VA",1,8,1,0.125,15,1,1,0.0666666666666667,2,23,2,0.0869565217391304,0.0869565217391304,0.477121254719662
120,"VA11","NFSOLO","LAHY","LAHY6","VA",2,7,2,0.285714285714286,10,0,0,0,2,17,2,0.117647058823529,0.117647058823529,0.477121254719662
121,"VA33","MSFSOLO","MYSC","MYSC7","VA",4,4,4,1,6,1,2,0.166666666666667,6,10,5,0.5,0.5,0.845098040014257
122,"VA34","NFSOLO","PLCO","PLCO3","VA",1,3,1,0.333333333333333,10,0,0,0,1,13,1,0.0769230769230769,0.0769230769230769,0.301029995663981
123,"VA40","MSFSOLO","THAR","THAR5","VA",5,7,5,0.714285714285714,16,3,3,0.1875,8,23,8,0.347826086956522,0.347826086956522,0.954242509439325
124,"VA23","NFSOLO","MOMO","MOMO7","VA",4,13,4,0.307692307692308,17,7,7,0.411764705882353,11,30,11,0.366666666666667,0.366666666666667,1.07918124604762
125,"VA39","NFSOLO","HEGR","HEGR3","VA",4,6,4,0.666666666666667,15,1,1,0.0666666666666667,5,21,5,0.238095238095238,0.238095238095238,0.778151250383644
126,"VA5","MSFSOLO","THAR","THAR4","VA",2,9,2,0.222222222222222,12,2,2,0.166666666666667,4,21,4,0.19047619047619,0.19047619047619,0.698970004336019
127,"VA38","MSFSOLO","MYLO","MYLO8","VA",5,5,5,1,10,0,0,0,5,15,5,0.333333333333333,0.333333333333333,0.778151250383644
128,"VA6","MSFSOLO","TUOC","TUOC2","VA",4,7,4,0.571428571428571,14,1,1,0.0714285714285714,5,21,5,0.238095238095238,0.238095238095238,0.778151250383644
129,"VA37","NFSOLO","LECO","LECO6","VA",2,5,2,0.4,8,0,0,0,2,13,2,0.153846153846154,0.153846153846154,0.477121254719662
130,"VA36","MSFSOLO","HARU","HARU8","VA",1,3,1,0.333333333333333,9,0,0,0,1,12,1,0.0833333333333333,0.0833333333333333,0.301029995663981
131,"VA35","NFSOLO","LAHY","LAHY8","VA",2,5,2,0.4,7,1,1,0.142857142857143,3,12,3,0.25,0.25,0.602059991327962
132,"VA32","MSFSOLO","MYSC","MYSC5","VA",5,6,5,0.833333333333333,10,5,5,0.5,10,16,10,0.625,0.625,1.04139268515823
133,"VA6","NFSOLO","MOMO","MOMO5","VA",3,9,3,0.333333333333333,13,0,0,0,3,22,3,0.136363636363636,0.136363636363636,0.602059991327962
134,"VA39","MSFSOLO","THAR","THAR6","VA",1,4,1,0.25,15,2,2,0.133333333333333,3,19,3,0.157894736842105,0.157894736842105,0.602059991327962
135,"VA35","MSFSOLO","HARU","HARU5","VA",6,7,6,0.857142857142857,9,1,1,0.111111111111111,7,16,7,0.4375,0.4375,0.903089986991944
136,"VA23","MSFSOLO","MYLO","MYLO6","VA",6,12,6,0.5,15,3,3,0.2,9,27,9,0.333333333333333,0.333333333333333,1
137,"VA34","MSFSOLO","HARU","HARU1","VA",4,5,4,0.8,13,2,2,0.153846153846154,6,18,6,0.333333333333333,0.333333333333333,0.845098040014257
138,"VA33","NFSOLO","PLCO","PLCO8","VA",3,4,3,0.75,12,1,1,0.0833333333333333,4,16,4,0.25,0.25,0.698970004336019
139,"VA32","NFSOLO","MOMO","MOMO3","VA",1,4,1,0.25,13,3,3,0.230769230769231,4,17,4,0.235294117647059,0.235294117647059,0.698970004336019
140,"VA1","MSFSOLO","TUOC","TUOC7","VA",10,9,5,0.555555555555556,14,1,4,0.0714285714285714,14,23,6,0.260869565217391,0.260869565217391,1.17609125905568
